Topic,Availability,Class,Class instance,Date,Day,Time,Location
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Lecture,1,02 Mar - 02 Mar,Monday (once-only),12:00 - 14:00,"Info Sci & Tech, STH3 South Theatre 3"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Lecture,1,13 Mar - 13 Mar,Friday (once-only),16:00 - 18:00,"Info Sci & Tech, STH3 South Theatre 3"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Lecture,1,16 Mar - 30 Mar,Monday,12:00 - 14:00,"Info Sci & Tech, STH3 South Theatre 3"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Lecture,1,10 Apr - 10 Apr,Friday (once-only),16:00 - 18:00,"Info Sci & Tech, STH3 South Theatre 3"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Lecture,1,27 Apr - 01 Jun,Monday,12:00 - 14:00,"Info Sci & Tech, STH3 South Theatre 3"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,1,03 Mar - 07 Apr,Tuesday,08:00 - 10:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,1,28 Apr - 09 Jun,Tuesday,08:00 - 10:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,2,03 Mar - 07 Apr,Tuesday,10:00 - 12:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,2,28 Apr - 09 Jun,Tuesday,10:00 - 12:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,3,03 Mar - 07 Apr,Tuesday,16:00 - 18:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,3,28 Apr - 09 Jun,Tuesday,16:00 - 18:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,4,03 Mar - 07 Apr,Tuesday,12:00 - 14:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,4,28 Apr - 09 Jun,Tuesday,12:00 - 14:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,5,06 Mar - 27 Mar,Friday,14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,5,30 Mar - 30 Mar,Monday (once-only),17:00 - 19:00,"Info Sci & Tech, 201 Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,5,10 Apr - 10 Apr,Friday (once-only),14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Practical,5,01 May - 12 Jun,Friday,14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,1,16 Mar - 30 Mar,Monday,14:00 - 15:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,1,27 Apr - 01 Jun,Monday,14:00 - 15:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,2,13 Mar - 27 Mar,Friday,12:00 - 13:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,2,10 Apr - 10 Apr,Friday (once-only),12:00 - 13:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,2,01 May - 12 Jun,Friday,12:00 - 13:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,3,13 Mar - 27 Mar,Friday,13:00 - 14:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,3,10 Apr - 10 Apr,Friday (once-only),13:00 - 14:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,3,01 May - 12 Jun,Friday,13:00 - 14:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,4,11 Mar - 08 Apr,Wednesday,09:00 - 10:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Bedford Park - S1 - 1,Tutorial,4,29 Apr - 10 Jun,Wednesday,09:00 - 10:00,"Info Sci & Tech, 220 Tutorial Room"
COMP1102 Programming Fundamentals,In person - Flinders City Campus - S1 - 1,Workshop,1,03 Mar - 07 Apr,Tuesday,14:00 - 17:00,"Festival Tower, 505 Collaborative Learning"
COMP1102 Programming Fundamentals,In person - Flinders City Campus - S1 - 1,Workshop,1,28 Apr - 09 Jun,Tuesday,14:00 - 17:00,"Festival Tower, 505 Collaborative Learning"
COMP1102 Programming Fundamentals,In person - Flinders City Campus - S1 - 1,Workshop,2,04 Mar - 08 Apr,Wednesday,14:00 - 17:00,"Festival Tower, 605 Collaborative Learning"
COMP1102 Programming Fundamentals,In person - Flinders City Campus - S1 - 1,Workshop,2,29 Apr - 10 Jun,Wednesday,14:00 - 17:00,"Festival Tower, 605 Collaborative Learning"
