Topic,Availability,Class,Class instance,Date,Day,Time,Location
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,1,11 Mar - 08 Apr,Wednesday,14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,1,29 Apr - 10 Jun,Wednesday,14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,2,10 Mar - 07 Apr,Tuesday,14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,2,28 Apr - 09 Jun,Tuesday,14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,3,13 Mar - 27 Mar,Friday,09:00 - 11:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,3,02 Apr - 02 Apr,Thursday (once-only),12:00 - 14:00,"Info Sci & Tech, 201 Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,3,10 Apr - 10 Apr,Friday (once-only),09:00 - 11:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,3,01 May - 12 Jun,Friday,09:00 - 11:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,4,12 Mar - 09 Apr,Thursday,14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,4,30 Apr - 11 Jun,Thursday,14:00 - 16:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,5,11 Mar - 08 Apr,Wednesday,12:00 - 14:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Laboratory,5,29 Apr - 10 Jun,Wednesday,12:00 - 14:00,"Info Sci & Tech, 301 BYOD Computer Lab"
COMP1002 Fundamentals of Artificial Intelligence,In person - Bedford Park - S1 - 1,Lecture,1,02 Mar - 02 Mar,Monday (once-only),15:00 - 17:00,"South Lec Theatres, STH2 South Theatre 2"
